単位（英字）,"CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100","CY2010 average=100"
統計種別・カテゴリ,"企業物価指数 2010年基準/輸出物価指数/円ベース","企業物価指数 2010年基準/輸出物価指数/円ベース","企業物価指数 2010年基準/輸出物価指数/円ベース","企業物価指数 2010年基準/輸出物価指数/円ベース","企業物価指数 2010年基準/輸出物価指数/円ベース","企業物価指数 2010年基準/輸出物価指数/円ベース","企業物価指数 2010年基準/輸出物価指数/円ベース","企業物価指数 2010年基準/輸出物価指数/円ベース"
統計種別・カテゴリ(英字),"Corporate Goods Price Index (2010 Base)/ Export Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Export Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Export Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Export Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Export Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Export Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Export Price Index (yen basis)","Corporate Goods Price Index (2010 Base)/ Export Price Index (yen basis)"
変換方法,"AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED","AVERAGED"
収録開始期,"1960/01","1960/01","1960/01","1960/01","1960/01","1960/01","1960/01","1960/01"
収録終了期,"2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12","2016/12"
期種,月次,月次,月次,月次,月次,月次,月次,月次
備考,"品目数：210、ウエイト：1000","品目数：4、ウエイト：12.5","品目数：45、ウエイト：95.4","品目数：30、ウエイト：118.2","品目数：39、ウエイト：192","品目数：46、ウエイト：232.9","品目数：18、ウエイト：240.6","品目数：28、ウエイト：108.4"
備考（英字）,"Number of Commodity:210, Weights:1000","Number of Commodity:4, Weights:12.5","Number of Commodity:45, Weights:95.4","Number of Commodity:30, Weights:118.2","Number of Commodity:39, Weights:192","Number of Commodity:46, Weights:232.9","Number of Commodity:18, Weights:240.6","Number of Commodity:28, Weights:108.4"

2009/03,104.2,101.4,92.2 ,96.6 ,105  ,111.7 ,104.9,103.7
2009/04,105.6,102.2,95.8 ,91.6 ,106.5,111.7 ,109.4,105
2009/05,103.8,101.6,95.9 ,89   ,105.3,110.1 ,107  ,103.6
2009/06,104.9,102.1,97.8 ,88.1 ,106.1,110.4 ,109.6,103.9
2009/07,103.1,101.5,96.8 ,87.9 ,104.1,108.3 ,106.8,102.7
2009/08,104.4,102.1,99.3 ,92.9 ,104.8,108.4 ,107.7,104.1
2009/09,102.1,100.3,96   ,91.3 ,103  ,106.1 ,105.1,101.7
2009/10,101.2,100.8,93.4 ,89.8 ,102.6,105.3 ,104.1,101.3
2009/11,100.8,100.7,94.2 ,91.1 ,101.8,104.6 ,103.4,101.2
2009/12,100.7,100.6,97   ,92.5 ,101.8,104.4 ,101.4,101.1
2010/01,102.2,103.5,99.1 ,96.4 ,102.5,106   ,102.5,102
2010/02,101.6,102.1,101.1,97   ,101.9,104.5 ,101.1,101.4
2010/03,101.8,102.5,102  ,98.6 ,102  ,103.9 ,101.2,101.2
2010/04,104.6,106.6,105.9,105.4,102.8,105.3 ,103.9,105.3
2010/05,102.9,103.1,105.4,105.2,100.9,103.2 ,101.3,104.3
2010/06,101.6,101.8,102.4,103.3,100.8,102   ,100.4,102
2010/07,99   ,97.9 ,97.2 ,100.1,99   ,99.1  ,98.7 ,99.7
2010/08,97.3 ,95.8 ,94.6 ,97.7 ,98.3 ,97.1  ,97.6 ,97.8
2010/09,97   ,97.2 ,96   ,97.7 ,98   ,95.9  ,97.4 ,96.9
2010/10,96.4 ,95.4 ,95.8 ,97.1 ,97.8 ,94.3  ,97.9 ,95.1
2010/11,97.4 ,95   ,99   ,99.7 ,97.9 ,94.1  ,98.8 ,96.5
2010/12,98.3 ,99.1 ,101.6,101.7,98   ,94.6  ,99.1 ,97.8
2011/01,98.6 ,101.7,104  ,103.5,98.8 ,92.7  ,99.3 ,99
2011/02,99.5 ,101.7,107.3,105.2,97.9 ,93.9  ,99.6 ,100.6
2011/03,99.6 ,104.5,108.4,106.4,98.1 ,92.4  ,99.6 ,102.4
2011/04,101.7,107.5,112.7,110.1,98.3 ,93.7  ,101.4,106.1
2011/05,99.9 ,106  ,111.5,107.2,97.3 ,91.5  ,99.6 ,104.1
2011/06,99.3 ,105.7,110.2,105.9,97.5 ,90.6  ,99   ,103.8
2011/07,98.3 ,104.1,108.2,104.7,96.6 ,89.6  ,98.2 ,103.7
2011/08,96.6 ,104  ,106  ,103.9,96   ,87.6  ,95.9 ,101.3
2011/09,96.1 ,101.6,106.6,104.2,95.5 ,86.9  ,95.1 ,100.2
2011/10,95.2 ,103.2,103.3,101.2,96.2 ,86.1  ,94.9 ,99.1
2011/11,94.8 ,103.1,100.1,100  ,95.5 ,85.9  ,95.3 ,100.5
2011/12,94.5 ,103.5,97.9 ,100.1,95.5 ,85.2  ,95.3 ,100.5
2012/01,94   ,102.8,99.7 ,99.1 ,95.3 ,84.2  ,94.4 ,100.2
2012/02,95.8 ,102.6,103.2,101.7,96.6 ,84.7  ,96.8 ,102
2012/03,99.2 ,108  ,109.3,106.8,98   ,87.5  ,100.2,106.5
2012/04,98.7 ,108.6,109.2,104.8,98.1 ,86.7  ,99.9 ,105.7
2012/05,96.3 ,103.6,106.6,101.3,96.7 ,84.7  ,97.7 ,102.1
2012/06,95   ,101.6,101.6,98.5 ,96.6 ,84    ,97.6 ,100
2012/07,94   ,101.9,98.6 ,97   ,95.7 ,83.6  ,97   ,98.9
2012/08,94.1 ,102.5,99.3 ,96.4 ,96.4 ,83.1  ,97   ,99.5
2012/09,94.1 ,104.1,100.3,95.4 ,95.5 ,83.4  ,96.9 ,100
2012/10,94.7 ,107.3,102.3,96.7 ,95.7 ,82.8  ,98.3 ,100.8
2012/11,95.9 ,106.6,103.3,97.6 ,96.8 ,83.8  ,99.8 ,102.4
2012/12,98   ,110.1,105.3,100.2,98.5 ,85.4  ,102.3,104.3
2013/01,102.4,119.2,111.8,106.7,100.8,88.8  ,107.1,109.3
2013/02,105.9,127.8,117.4,111.1,102.9,91.4  ,110.6,113.2
2013/03,106.6,122.9,119.6,112.1,102.9,92    ,111.5,114.6
2013/04,107.5,125.9,118.7,112.7,104.4,93.9  ,111.9,115.1
2013/05,109.1,130.7,120.5,113.4,104.8,96    ,114  ,116.8
2013/06,106.1,123.8,116.7,108.1,102.9,94    ,110.7,113.5
2013/07,107.5,125.7,119.1,109.1,104.1,95.7  ,111.7,115
2013/08,106.1,124.5,118.2,107.3,103.5,93.9  ,110.2,113.6
2013/09,107.2,128.5,120.3,109.9,104.1,94.1  ,111.3,115
2013/10,106.7,125.2,119.9,108.8,104.5,93.6  ,110.7,113.8
2013/11,108  ,127  ,120.8,111  ,105.5,93.8  ,112.9,115.4
2013/12,110.4,131.8,124.1,113.1,107.3,95.7  ,115.4,118.7
2014/01,110.7,130.3,124.5,113.3,108  ,95.9  ,115.9,118.4
2014/02,109.2,128.6,122.7,111.7,107.1,94.5  ,114.6,115.9
2014/03,109.1,131.5,121.6,111.6,107.5,94.3  ,114.6,115.4
2014/04,109  ,129.5,121.3,111.7,106.7,94    ,115.1,115.5
2014/05,108.2,130.1,120.3,111.1,106.6,92.7  ,114.5,114.3
2014/06,108.1,129.7,121.9,111.6,106  ,92.1  ,114.1,114.2
2014/07,107.9,129.4,122.8,111.2,105.9,91.8  ,114.2,113.2
2014/08,108.8,130.9,124.2,112.8,106.5,92.7  ,114.8,113.4
2014/09,111  ,139.7,126.6,115.9,108.3,94.4  ,117.4,115
2014/10,110.8,135.3,125.9,113.6,108.3,94.9  ,118  ,114.1
2014/11,115.6,145.4,129.4,119.8,111.8,99.5  ,124  ,118.5
2014/12,116.4,143  ,126.9,121.1,112.9,101.4 ,125.9,116.4
2015/01,113.1,144.1,117.7,118  ,111.3,100.2 ,122.7,109.5
2015/02,112.1,137.8,114.7,115.6,111.7,99.4  ,122.5,107.6
2015/03,112.8,139.6,117.5,115  ,111.6,100.4 ,123.3,108.3
2015/04,112.1,141  ,120.6,112.8,111.3,99.2  ,121.9,107.9
2015/05,113.4,138.9,124.3,113.9,112.1,99.6  ,123.6,109.5
2015/06,115.2,142.1,127.2,115.9,113.4,101   ,125.8,110.9
2015/07,113.6,141  ,124.2,111.8,112.9,100.4 ,124.9,107.8
2015/08,112.7,139.2,120.9,108.9,113.3,100.4 ,125.1,104.3
2015/09,109.6,136.1,114.3,103.9,111.7,98    ,122.5,101.4
2015/10,108.7,134.8,111.7,102.1,111.2,97.1  ,122.2,101
2015/11,109.5,138.2,112  ,102.9,112  ,97.9  ,123.3,101.2
2015/12,108.4,133.5,109.9,100.3,112.1,97.2  ,123  ,98
2016/01,105.4,132.6,105.9,96.9 ,110.4,94.7  ,120.2,92.8
2016/02,103.2,125.4,102.5,95.1 ,108.7,93.1  ,117.8,89.6
2016/03,102.5,127.4,101.8,96.5 ,107.8,91.6  ,116.6,89.5
2016/04,101.2,120.8,102.7,97.6 ,107  ,88.9  ,114.3,88.7
2016/05,100.8,120.5,103.5,96   ,106.8,88.3  ,113.4,89.1
2016/06,98.5 ,117.1,100.9,93.6 ,104.9,86.1  ,110.8,88
2016/07,97.6 ,115.1,99.1 ,93.2 ,104.2,85.3  ,109.9,87.1
2016/08,96.3 ,113.2,98   ,92.5 ,103.3,84    ,108  ,85.2
2016/09,96.9 ,113.9,99.3 ,93.1 ,103.7,84.3  ,108.5,85.8
2016/10,98   ,115.6,101.9,94.2 ,104.5,84.9  ,109.8,87.5
2016/11,101  ,119.5,107  ,99   ,105.7,87.7  ,112.7,89.8
2016/12,106.4,126.8,115.1,108  ,108.4,92.3  ,118.2,95.3
2017/01,     ,     ,     ,     ,     ,      ,     ,
2017/02,     ,     ,     ,     ,     ,      ,     ,
2017/03,     ,     ,     ,     ,     ,      ,     ,
2017/04,     ,     ,     ,     ,     ,      ,     ,
2017/05,     ,     ,     ,     ,     ,      ,     ,
2017/06,     ,     ,     ,     ,     ,      ,     ,
2017/07,     ,     ,     ,     ,     ,      ,     ,
2017/08,     ,     ,     ,     ,     ,      ,     ,
2017/09,     ,     ,     ,     ,     ,      ,     ,
2017/10,     ,     ,     ,     ,     ,      ,     ,
2017/11,     ,     ,     ,     ,     ,      ,     ,
2017/12,     ,     ,     ,     ,     ,      ,     ,
2018/01,     ,     ,     ,     ,     ,      ,     ,
2018/02,     ,     ,     ,     ,     ,      ,     ,
2018/03,     ,     ,     ,     ,     ,      ,     ,
2018/04,     ,     ,     ,     ,     ,      ,     ,
2018/05,     ,     ,     ,     ,     ,      ,     ,
2018/06,     ,     ,     ,     ,     ,      ,     ,
2018/07,     ,     ,     ,     ,     ,      ,     ,
2018/08,     ,     ,     ,     ,     ,      ,     ,
2018/09,     ,     ,     ,     ,     ,      ,     ,
2018/10,     ,     ,     ,     ,     ,      ,     ,
2018/11,     ,     ,     ,     ,     ,      ,     ,
2018/12,     ,     ,     ,     ,     ,      ,     ,
